Timestamp(ms) actualVelocity_1 actualVelocity_2 v_target_mobile asserv.v_mobile asserv.alpha targetVelocity_1 targetVelocity_2 x initial_x asserv.target_x h_triangle L1 L2 
78930 -5 0 0.0002431871835142374 0.0012060118606314063 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
78950 10 1 0.0002431871835142374 -0.0060300589539110661 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
78970 8 -5 0.0002431871835142374 0.012060117907822132 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
78990 -1 -2 0.0002431871835142374 0.00964809488505125 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79010 0 1 0.0002431871835142374 -0.0012060118606314063 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79030 -3 -1 0.0002431871835142374 0 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79050 -5 3 0.0002431871835142374 -0.0036180354654788971 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79070 0 -3 0.0002431871835142374 -0.0060300589539110661 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79090 1 4 0.0002431871835142374 0 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79110 -6 -2 0.0002431871835142374 0.0012060118606314063 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79130 -5 3 0.0002431871835142374 -0.0072360709309577942 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79150 1 7 0.0002431871835142374 -0.0060300589539110661 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
