[key]; [value]
Version; 0x03050000
Name; Application.mesure_all
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MAST
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 101
Flags; 16
0.Variable; actualVelocity_1
0.Address.AddrFlags; 0x00000000
0.Class; 8
0.Size; 4
0.GraphColor; 4293821166
0.GraphType; 1
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 9264; 42
; 9284; 191
; 9304; 86
; 9324; 104
; 9344; 94
; 9364; 44
; 9384; 173
; 9404; 59
; 9424; 126
; 9444; 118
; 9464; 62
; 9484; 105
; 9504; 30
; 9524; 160
; 9544; 126
; 9564; 82
; 9584; 95
; 9604; 46
; 9624; 181
; 9644; 106
; 9664; 99
; 9684; 105
; 9704; 50
; 9724; 170
; 9744; 71
; 9764; 164
; 9784; 107
; 9804; 54
; 9824; 146
; 9844; 47
; 9864; 202
; 9884; 108
; 9904; 87
; 9924; 84
; 9944; 41
; 9964; 196
; 9984; 72
; 10004; 102
; 10024; 117
; 10044; 64
; 10064; 107
; 10084; 32
; 10104; 168
; 10124; 128
; 10144; 85
; 10164; 103
; 10184; 44
; 10204; 166
; 10224; 89
; 10244; 118
; 10264; 110
; 10284; 54
; 10304; 135
; 10324; 52
; 10344; 199
; 10364; 95
; 10384; 61
; 10404; 104
; 10424; 44
; 10444; 191
; 10464; 74
; 10484; 126
; 10504; 107
; 10524; 52
; 10544; 142
; 10564; 46
; 10584; 173
; 10604; 125
; 10624; 89
; 10644; 99
; 10664; 40
; 10684; 219
; 10704; 98
; 10724; 161
; 10744; 121
; 10764; 66
; 10784; 83
; 10804; 41
; 10824; 201
; 10844; 93
; 10864; 82
; 10884; 100
; 10904; 56
; 10924; 126
; 10944; 38
; 10964; 144
; 10984; 126
; 11004; 77
; 11024; 98
; 11044; 44
; 11064; 188
; 11084; 94
; 11104; 111
; 11124; 111
; 11144; 55
; 11164; 129
; 11184; 49
; 11204; 197
; 11224; 84
; 11244; 73
; 11264; 98
; 11284; 51
; 11304; 160
; 11324; 52
; 11344; 171
; 11364; 125
; 11384; 70
; 11404; 100
; 11424; 38
; 11444; 220
; 11464; 101
; 11484; 146
; 11504; 112
; 11524; 53
; 11544; 152
; 11564; 53
; 11584; 207
; 11604; 98
; 11624; 113
; 11644; 100
; 11664; 52
; 11684; 147
; 11704; 43
; 11724; 175
; 11744; 128
; 11764; 95
; 11784; 103
; 11804; 45
; 11824; 207
; 11844; 78
; 11864; 178
; 11884; 119
; 11904; 78
; 11924; 84
; 11944; 44
; 11964; 188
; 11984; 69
; 12004; 137
; 12024; 128
; 12044; 76
; 12064; 97
; 12084; 34
; 12104; 211
; 12124; 116
; 12144; 124
; 12164; 122
; 12184; 67
; 12204; 93
; 12224; 38
; 12244; 213
; 12264; 87
; 12284; 101
; 12304; 112
; 12324; 69
; 12344; 108
; 12364; 33
; 12384; 207
; 12404; 113
; 12424; 128
; 12444; 118
; 12464; 65
; 12484; 92
; 12504; 42
; 12524; 202
; 12544; 94
; 12564; 96
; 12584; 112
; 12604; 63
; 12624; 110
; 12644; 32
; 12664; 206
; 12684; 117
; 12704; 116
; 12724; 119
; 12744; 69
; 12764; 97
; 12784; 40
; 12804; 204
; 12824; 96
; 12844; 97
; 12864; 109
; 12884; 60
; 12904; 114
; 12924; 34
; 12944; 193
; 12964; 116
; 12984; 117
; 13004; 120
; 13024; 68
; 13044; 97
; 13064; 42
; 13084; 204
; 13104; 86
; 13124; 118
; 13144; 125
; 13164; 76
; 13184; 101
; 13204; 35
; 13224; 222
; 13244; 97
; 13264; 155
; 13284; 124
; 13304; 75
; 13324; 88
; 13344; 41
; 13364; 190
; 13384; 67
; 13404; 144
; 13424; 126
; 13444; 84
; 13464; 109
; 13484; 47
; 13504; 209
; 13524; 68
; 13544; 202
; 13564; 104
; 13584; 97
; 13604; 96
; 13624; 54
; 13644; 150
; 13664; 49
; 13684; 201
; 13704; 121
; 13724; 117
; 13744; 106
; 13764; 48
; 13784; 165
; 13804; 60
; 13824; 213
; 13844; 93
; 13864; 132
; 13884; 120
; 13904; 65
; 13924; 113
; 13944; 34
; 13964; 215
; 13984; 80
; 14004; 189
; 14024; 101
; 14044; 70
; 14064; 110
; 14084; 47
; 14104; 142
; 14124; 42
; 14144; 207
; 14164; 117
; 14184; 108
; 14204; 114
; 14224; 66
; 14244; 114
; 14264; 47
; 14284; 189
; 14304; 58
; 14324; 120
; 14344; 121
; 14364; 77
; 14384; 108
; 14404; 54
; 14424; 150
; 14444; 60
; 14464; 187
; 14484; 109
; 14504; 85
; 14524; 103
; 14544; 66
; 14564; 117
; 14584; 34
; 14604; 213
; 14624; 109
; 14644; 134
; 14664; 126
; 14684; 77
; 14704; 90
; 14724; 49
; 14744; 173
; 14764; 49
; 14784; 192
; 14804; 122
; 14824; 123
; 14844; 114
; 14864; 53
; 14884; 144
; 14904; 51
; 14924; 190
; 14944; 72
; 14964; 176
; 14984; 130
; 15004; 79
; 15024; 114
; 15044; 50
; 15064; 153
; 15084; 48
; 15104; 204
; 15124; 52
; 15144; 139
; 15164; 127
; 15184; 97
; 15204; 116
; 15224; 58
; 15244; 110
; 15264; 45
; 15284; 207
; 15304; 87
; 15324; 126
; 15344; 121
; 15364; 87
; 15384; 106
; 15404; 45
; 15424; 209
; 15444; 68
; 15464; 206
; 15484; 104
; 15504; 116
; 15524; 119
; 15544; 65
; 15564; 117
; 15584; 43
; 15604; 213
; 15624; 78
; 15644; 210
; 15664; 86
; 15684; 92
; 15704; 117
; 15724; 73
; 15744; 116
; 15764; 45
; 15784; 162
; 15804; 64
; 15824; 187
; 15844; 110
; 15864; 93
; 15884; 126
; 15904; 70
; 15924; 105
; 15944; 38
; 15964; 223
; 15984; 82
; 16004; 190
; 16024; 109
; 16044; 104
; 16064; 114
; 16084; 64
; 16104; 117
; 16124; 36
