V20.3.3.0 Trace: mesure_all
C:\Users\HP\Documents\CoursMines\mecatro\TI_MECATRO_Tricodrisse\minimal_working_example\M241_ILE_2_moteurs_new.project
Timestamp(ms) actualVelocity_1 actualVelocity_2 v_target_mobile asserv.v_mobile asserv.alpha targetVelocity_1 targetVelocity_2 x init_x target_x h_triangle 
131664 -1 -5 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131684 2 -4 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131704 0 -3 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131724 2 -8 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131744 2 -13 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131764 1 -21 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131784 -6 -80 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131804 1 4 0.0036156214773654938 -0.0033451155759394169 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131824 5 -4 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131844 6 -2 0.0036156214773654938 0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131864 0 -2 0.0036156214773654938 0.0033451155759394169 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131884 6 -1 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131904 3 1 0.0036156214773654938 0.0033451155759394169 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131924 6 -5 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131944 24 -3 0.0036156214773654938 0.0033451155759394169 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131964 69 0 0.0036156214773654938 0.013380462303757668 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
131984 0 -4 0.0036156214773654938 0.038468830287456512 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132004 0 -1 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132024 -3 -5 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132044 -2 -3 0.0081908786669373512 -0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132064 -6 -15 0.0081908786669373512 -0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132084 -2 -7 0.0081908786669373512 -0.0033451155759394169 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132104 -1 -7 0.0081908786669373512 -0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132124 -3 -4 0.0081908786669373512 -0.00055751932086423039 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132144 -3 -1 0.0081908786669373512 -0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132164 -4 -13 0.0081908786669373512 -0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132184 -3 -7 0.0081908786669373512 -0.0022300772834569216 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132204 -6 5 0.0081908786669373512 -0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132224 -9 15 0.0081908786669373512 -0.0033451155759394169 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
